date,ticker,volume_yesterday,volume_ma20,passed_all_filters
2025-08-19,NVDA,132007959,154632517.1,False
2025-08-19,MSFT,23760583,21424463.2,True
2025-08-19,AAPL,37476188,63210661.05,False
2025-08-19,AMZN,25248890,47333078.15,False
2025-08-19,GOOGL,18526594,36481448.55,False
2025-08-19,META,16513737,13316477.35,True
2025-08-19,AVGO,14724667,17251597.7,False
2025-08-19,TSM,6919779,10166552.7,False
2025-08-19,TSLA,56956552,88332825.25,False
2025-08-19,ORCL,6759921,9885479.35,False
2025-08-19,ADBE,2922973,3654973.4,False
2025-08-19,CSCO,20903411,22204663.55,False
2025-08-19,INTU,1629206,1641306.25,False
2025-08-19,QCOM,4774409,8608493.65,False
